08 12 2018 12 30 00 00000000 00110000   -0.051   -0.140   -0.185    22    21    22  13.7 1521.6 1521.7 300.4 -22.8  29.2   0.000   0.000  20.08     0 15216    0.149   200.02
08 12 2018 12 31 00 00000000 00110000    0.173   -0.027    0.024    22    21    22  13.7 1521.6 1521.7 299.2 -22.8  29.2   0.000   0.000  20.09     0 15216    0.175    98.87
08 12 2018 12 32 00 00000000 00110000   -0.005    0.142    0.103    22    21    22  13.7 1521.6 1521.7 298.0 -22.9  29.2   0.000   0.000  20.09     0 15216    0.142   357.98
08 12 2018 12 33 00 00000000 00110000    0.053   -0.147   -0.032    22    21    22  13.7 1521.6 1521.7 299.1 -22.8  29.2   0.000   0.000  20.09     0 15216    0.156   160.17
08 12 2018 12 34 00 00000000 00110000   -0.209   -0.055   -0.211    22    21    22  13.7 1521.7 1521.7 285.0 -22.8  29.2   0.000   0.000  20.10     0 15217    0.216   255.26
08 12 2018 12 35 00 00000000 00110000    0.044    0.232    0.043    22    21    22  13.7 1521.7 1521.7 261.0 -22.8  29.2   0.000   0.000  20.10     0 15217    0.236    10.74
08 12 2018 12 36 00 00000000 00110000   -0.133    0.060   -0.085    22    21    22  13.7 1521.7 1521.8 246.0 -22.8  29.2   0.000   0.000  20.11     0 15217    0.146   294.28
08 12 2018 12 37 00 00000000 00110000   -0.003    0.131    0.107    22    21    22  13.7 1521.7 1521.8 239.8 -22.8  29.3   0.000   0.000  20.11     0 15217    0.131   358.69
08 12 2018 12 38 00 00000000 00110000    0.148    0.155   -0.150    22    21    22  13.7 1521.7 1521.8 238.8 -22.8  29.2   0.000   0.000  20.12     0 15217    0.214    43.68
08 12 2018 12 39 00 00000000 00110000    0.225   -0.044    0.079    22    21    22  13.7 1521.7 1521.8 239.9 -22.8  29.2   0.000   0.000  20.12     0 15217    0.229   101.06
08 12 2018 12 40 00 00000000 00110000    0.049    0.194   -0.180    22    21    22  13.7 1521.7 1521.8 239.0 -22.8  29.2   0.000   0.000  20.12     0 15217    0.200    14.18
08 12 2018 12 41 00 00000000 00110000   -0.332   -0.095    0.071    22    21    22  13.7 1521.7 1521.8 238.9 -22.8  29.2   0.000   0.000  20.12     0 15217    0.345   254.03
08 12 2018 12 42 00 00000000 00110000   -0.093   -0.007    0.188    22    21    22  13.7 1521.7 1521.8 240.7 -22.8  29.2   0.000   0.000  20.12     0 15217    0.093   265.70
08 12 2018 12 43 00 00000000 00110000   -0.295    0.007    0.165    22    21    22  13.7 1521.7 1521.8 240.1 -22.8  29.2   0.000   0.000  20.13     0 15217    0.295   271.36
08 12 2018 12 44 00 00000000 00110000   -0.066    0.118   -0.232    22    21    22  13.7 1521.7 1521.8 239.9 -22.8  29.2   0.000   0.000  20.13     0 15217    0.135   330.78
08 12 2018 12 45 00 00000000 00110000    0.139   -0.021   -0.130    22    21    22  13.7 1521.7 1521.8 239.5 -22.8  29.2   0.000   0.000  20.13     0 15217    0.141    98.59
08 12 2018 12 46 00 00000000 00110000   -0.080   -0.144    0.008    22    21    22  13.7 1521.7 1521.8 240.5 -22.8  29.2   0.000   0.000  20.12     0 15217    0.165   209.05
08 12 2018 12 47 00 00000000 00110000   -0.119   -0.014    0.136    22    21    22  13.7 1521.7 1521.8 240.9 -22.8  29.2   0.000   0.000  20.12     0 15217    0.120   263.29
08 12 2018 12 48 00 00000000 00110000    0.044    0.283   -0.312    22    21    22  13.7 1521.7 1521.8 240.1 -22.7  29.3   0.000   0.000  20.12     0 15217    0.286     8.84
08 12 2018 12 49 00 00000000 00110000    0.057   -0.004   -0.183    22    21    22  13.7 1521.7 1521.8 240.6 -22.8  29.2   0.000   0.000  20.11     0 15217    0.057    94.01
08 12 2018 12 50 00 00000000 00110000   -0.093   -0.141   -0.172    22    21    22  13.7 1521.7 1521.8 240.1 -22.8  29.2   0.000   0.000  20.11     0 15217    0.169   213.41
08 12 2018 12 51 00 00000000 00110000   -0.128    0.036    0.075    22    21    22  13.7 1521.7 1521.7 240.4 -22.8  29.2   0.000   0.000  20.10     0 15217    0.133   285.71
08 12 2018 12 52 00 00000000 00110000    0.202   -0.233   -0.151    22    21    22  13.7 1521.7 1521.7 241.7 -22.8  29.2   0.000   0.000  20.10     0 15217    0.308   139.08
08 12 2018 12 53 00 00000000 00110000    0.001   -0.185   -0.015    22    21    22  13.7 1521.6 1521.7 269.6 -22.8  29.2   0.000   0.000  20.09     0 15216    0.185   179.69
08 12 2018 12 54 00 00000000 00110000   -0.011   -0.042    0.159    22    21    22  13.7 1521.6 1521.7 289.3 -22.8  29.2   0.000   0.000  20.09     0 15216    0.043   194.68
08 12 2018 12 55 00 00000000 00110000   -0.010   -0.265   -0.333    22    21    22  13.7 1521.6 1521.7 296.0 -22.8  29.2   0.000   0.000  20.08     0 15216    0.265   182.16
08 12 2018 12 56 00 00000000 00110000    0.141   -0.211    0.093    22    21    22  13.7 1521.6 1521.7 297.4 -22.8  29.2   0.000   0.000  20.08     0 15216    0.254   146.25
08 12 2018 12 57 00 00000000 00110000    0.008   -0.156   -0.334    22    21    22  13.7 1521.6 1521.7 300.7 -22.8  29.2   0.000   0.000  20.08     0 15216    0.156   177.06
08 12 2018 12 58 00 00000000 00110000    0.075    0.185    0.250    22    21    22  13.7 1521.6 1521.7 293.3 -22.8  29.2   0.000   0.000  20.08     0 15216    0.200    22.07
08 12 2018 12 59 00 00000000 00110000   -0.131    0.010   -0.193    22    21    22  13.7 1521.6 1521.7 293.9 -22.8  29.2   0.000   0.000  20.08     0 15216    0.131   274.37
08 12 2018 13 00 00 00000000 00110000   -0.112   -0.065    0.413    22    21    22  13.7 1521.6 1521.7 295.3 -22.8  29.2   0.000   0.000  20.08     0 15216    0.130   239.87
08 12 2018 13 01 00 00000000 00110000   -0.328    0.034   -0.240    22    21    22  13.7 1521.6 1521.7 297.9 -22.8  29.2   0.000   0.000  20.08     0 15216    0.330   275.92
08 12 2018 13 02 00 00000000 00110000    0.218   -0.042   -0.132    22    21    22  13.7 1521.6 1521.7 303.7 -22.8  29.2   0.000   0.000  20.08     0 15216    0.222   100.91
08 12 2018 13 03 00 00000000 00110000   -0.005    0.084    0.214    22    21    22  13.7 1521.6 1521.7 298.3 -22.8  29.2   0.000   0.000  20.09     0 15216    0.084   356.59
08 12 2018 13 04 00 00000000 00110000    0.157    0.055   -0.022    22    21    22  13.7 1521.6 1521.7 297.3 -22.8  29.2   0.000   0.000  20.09     0 15216    0.166    70.69
08 12 2018 13 05 00 00000000 00110000    0.123    0.098    0.233    22    21    21  13.7 1521.6 1521.7 298.7 -22.8  29.3   0.000   0.000  20.09     0 15216    0.157    51.45
08 12 2018 13 06 00 00000000 00110000    0.023   -0.276    0.114    22    21    22  13.7 1521.7 1521.7 297.8 -22.8  29.2   0.000   0.000  20.10     0 15217    0.277   175.24
08 12 2018 13 07 00 00000000 00110000   -0.190    0.445    0.129    22    21    22  13.7 1521.7 1521.7 299.8 -22.8  29.2   0.000   0.000  20.10     0 15217    0.484   336.88
08 12 2018 13 08 00 00000000 00110000    0.028   -0.111   -0.083    22    21    22  13.7 1521.7 1521.7 299.5 -22.8  29.2   0.000   0.000  20.10     0 15217    0.114   165.84
08 12 2018 13 09 00 00000000 00110000    0.181   -0.113   -0.281    22    22    22  13.7 1521.7 1521.8 297.8 -22.8  29.2   0.000   0.000  20.11     0 15217    0.213   121.98
08 12 2018 13 10 00 00000000 00110000    0.133   -0.240   -0.178    22    22    22  13.7 1521.7 1521.8 298.1 -22.8  29.2   0.000   0.000  20.11     0 15217    0.274   151.01
08 12 2018 13 11 00 00000000 00110000    0.082    0.082    0.198    22    23    22  13.7 1521.7 1521.8 297.6 -22.8  29.2   0.000   0.000  20.11     0 15217    0.116    45.00
08 12 2018 13 12 00 00000000 00110000   -0.010    0.088   -0.258    22    23    22  13.7 1521.7 1521.8 296.4 -22.8  29.2   0.000   0.000  20.12     0 15217    0.089   353.52
08 12 2018 13 13 00 00000000 00110000    0.128    0.067    0.107    22    23    22  13.7 1521.7 1521.8 299.7 -22.8  29.3   0.000   0.000  20.12     0 15217    0.144    62.37
08 12 2018 13 14 00 00000000 00110000   -0.130   -0.066   -0.084    22    23    22  13.7 1521.7 1521.8 301.3 -22.8  29.3   0.000   0.000  20.12     0 15217    0.146   243.08
08 12 2018 13 15 00 00000000 00110000    0.159    0.020    0.006    22    24    22  13.7 1521.7 1521.8 294.1 -22.8  29.3   0.000   0.000  20.13     0 15217    0.160    82.83
08 12 2018 13 16 00 00000000 00110000    0.101   -0.064    0.057    22    23    22  13.7 1521.7 1521.8 299.3 -22.8  29.2   0.000   0.000  20.13     0 15217    0.120   122.36
08 12 2018 13 17 00 00000000 00110000    0.058    0.382    0.129    22    23    22  13.7 1521.8 1521.8 296.7 -22.8  29.2   0.000   0.000  20.14     0 15218    0.386     8.63
08 12 2018 13 18 00 00000000 00110000   -0.047   -0.005    0.096    22    22    22  13.7 1521.8 1521.8 294.8 -22.8  29.3   0.000   0.000  20.14     0 15218    0.047   263.93
08 12 2018 13 19 00 00000000 00110000    0.098   -0.003    0.146    22    22    22  13.7 1521.8 1521.8 297.7 -22.8  29.2   0.000   0.000  20.14     0 15218    0.098    91.75
08 12 2018 13 20 00 00000000 00110000    0.333   -0.146   -0.033    22    22    22  13.7 1521.8 1521.9 297.2 -22.8  29.2   0.000   0.000  20.15     0 15218    0.364   113.67
08 12 2018 13 21 00 00000000 00110000    0.006    0.115   -0.071    22    22    22  13.7 1521.8 1521.9 296.9 -22.8  29.2   0.000   0.000  20.15     0 15218    0.115     2.99
